Store Type,# Store Nodes,# Concurrent Requests,Record Size (bytes),Num Records Generated,Write Records/s,Sigma Write Records/s,Write MB/s,Sigma Write MB/s,Read Records/s,Sigma Read Records/s,Reads MB/s,Sigma Reads MB/s
Zookeeper,5,20,1024,512,1460.060,31.758,1.426,0.031,9070.252,342.542,8.858,0.031
Zookeeper,5,20,2048,512,1366.929,39.428,2.670,0.077,11173.363,375.383,21.823,0.077
Zookeeper,5,20,4096,512,1270.459,35.786,4.963,0.140,11152.465,210.854,43.564,0.140
Zookeeper,5,25,128,512,1446.579,25.277,0.177,0.003,11416.813,61.124,1.394,0.003
Zookeeper,5,25,256,512,1452.274,39.123,0.355,0.010,11325.106,74.127,2.765,0.010
Zookeeper,5,25,512,512,1447.891,13.261,0.707,0.006,10966.499,595.557,5.355,0.006
Zookeeper,5,25,1024,512,1422.768,26.229,1.389,0.026,9822.401,517.289,9.592,0.026
Zookeeper,5,25,2048,512,1354.362,35.884,2.645,0.070,11804.177,53.963,23.055,0.070
Zookeeper,5,25,4096,512,1294.614,25.578,5.057,0.100,11153.058,280.888,43.567,0.100
Zookeeper,5,30,128,512,1452.113,28.300,0.177,0.003,11673.273,191.573,1.425,0.003
Zookeeper,5,30,256,512,1439.400,28.966,0.351,0.007,11579.031,219.563,2.827,0.007
Zookeeper,5,30,512,512,1431.824,24.706,0.699,0.012,10819.729,479.069,5.283,0.012
Zookeeper,5,30,1024,512,1456.396,22.036,1.422,0.022,9630.943,505.441,9.405,0.022
Zookeeper,5,30,2048,512,1389.186,41.690,2.713,0.081,11524.153,192.136,22.508,0.081
Zookeeper,5,30,4096,512,1297.203,49.392,5.067,0.193,11288.530,233.582,44.096,0.193
Zookeeper,7,1,128,512,602.199,18.210,0.074,0.002,5898.959,95.165,0.720,0.002
Zookeeper,7,1,256,512,595.838,28.171,0.145,0.007,5850.202,123.143,1.428,0.007
Zookeeper,7,1,512,512,590.109,18.470,0.288,0.009,5270.478,292.879,2.573,0.009
Zookeeper,7,1,1024,512,490.864,46.224,0.479,0.045,5818.288,72.352,5.682,0.045
Zookeeper,7,1,2048,512,498.919,66.985,0.974,0.131,5705.679,38.893,11.144,0.131
Zookeeper,7,1,4096,512,459.812,83.572,1.796,0.326,5262.338,139.370,20.556,0.326
Zookeeper,7,5,128,512,1063.724,26.465,0.130,0.003,11062.206,122.333,1.350,0.003
Zookeeper,7,5,256,512,1057.721,5.585,0.258,0.001,10986.946,257.734,2.682,0.001
Zookeeper,7,5,512,512,1037.554,49.678,0.507,0.024,9384.289,841.582,4.582,0.024
Zookeeper,7,5,1024,512,797.982,60.192,0.779,0.059,11231.163,128.490,10.968,0.059
Zookeeper,7,5,2048,512,865.327,85.110,1.690,0.166,11273.461,107.683,22.018,0.166
Zookeeper,7,5,4096,512,785.439,97.685,3.068,0.382,10288.945,396.682,40.191,0.382
Zookeeper,7,10,128,512,1130.836,25.658,0.138,0.003,11316.774,150.431,1.381,0.003
Zookeeper,7,10,256,512,1137.853,20.109,0.278,0.005,11047.954,295.704,2.697,0.005
Zookeeper,7,10,512,512,1033.112,53.851,0.504,0.026,9410.709,713.450,4.595,0.026
Zookeeper,7,10,1024,512,986.546,95.653,0.963,0.093,11308.911,134.734,11.044,0.093
Zookeeper,7,10,2048,512,944.819,67.360,1.845,0.132,11499.653,117.777,22.460,0.132
Zookeeper,7,10,4096,512,807.951,28.561,3.156,0.112,10039.074,694.214,39.215,0.112
Zookeeper,7,15,128,512,1145.966,28.194,0.140,0.003,11375.808,151.821,1.389,0.003
Zookeeper,7,15,256,512,1136.302,36.229,0.277,0.009,11145.221,292.732,2.721,0.009
Zookeeper,7,15,512,512,1181.860,7.913,0.577,0.004,9427.255,856.947,4.603,0.004
Zookeeper,7,15,1024,512,1088.435,54.397,1.063,0.053,11436.518,49.011,11.168,0.053
Zookeeper,7,15,2048,512,1059.905,43.339,2.070,0.085,11510.524,74.927,22.481,0.085
Zookeeper,7,15,4096,512,994.249,62.083,3.884,0.243,10827.389,268.704,42.294,0.243
Zookeeper,7,20,128,512,1201.297,30.835,0.147,0.004,11398.504,130.616,1.391,0.004
Zookeeper,7,20,256,512,1149.443,24.169,0.281,0.006,11481.172,279.589,2.803,0.006
Zookeeper,7,20,512,512,1149.922,45.452,0.561,0.022,9573.539,676.183,4.675,0.022
Zookeeper,7,20,1024,512,1126.627,22.095,1.100,0.022,11725.352,256.050,11.451,0.022
Zookeeper,7,20,2048,512,1125.380,39.185,2.198,0.077,11401.792,222.501,22.269,0.077
Zookeeper,7,20,4096,512,1050.321,42.451,4.103,0.166,10873.834,405.651,42.476,0.166
Zookeeper,7,25,128,512,1188.601,21.544,0.145,0.003,11122.996,223.550,1.358,0.003
Zookeeper,7,25,256,512,1189.433,28.005,0.290,0.007,11572.245,96.349,2.825,0.007
Zookeeper,7,25,512,512,1183.743,22.168,0.578,0.011,9693.942,1026.097,4.733,0.011
Zookeeper,7,25,1024,512,1156.073,33.887,1.129,0.033,11025.097,757.704,10.767,0.033
Zookeeper,7,25,2048,512,1151.355,41.774,2.249,0.082,11442.526,254.332,22.349,0.082
Zookeeper,7,25,4096,512,1080.044,26.083,4.219,0.102,10460.876,397.506,40.863,0.102
Zookeeper,7,30,128,512,1214.806,18.496,0.148,0.002,11495.887,249.454,1.403,0.002
Zookeeper,7,30,256,512,1196.098,17.186,0.292,0.004,11494.178,218.315,2.806,0.004
Zookeeper,7,30,512,512,1199.623,18.138,0.586,0.009,9845.999,779.834,4.808,0.009
Zookeeper,7,30,1024,512,1149.661,17.509,1.123,0.017,11529.636,308.414,11.259,0.017
Zookeeper,7,30,2048,512,1165.765,17.523,2.277,0.034,11430.626,128.481,22.325,0.034
Zookeeper,7,30,4096,512,1097.637,27.754,4.288,0.108,11281.575,190.904,44.069,0.108
