Store Type,# Store Nodes,# Concurrent Requests,Record Size (bytes),Num Records Generated,Write Records/s,Sigma Write Records/s,Write MB/s,Sigma Write MB/s,Read Records/s,Sigma Read Records/s,Reads MB/s,Sigma Reads MB/s
ETCD,3,10,512,512,189.539,2.978,0.093,0.001,44431.976,198.224,21.695,0.001
ETCD,3,10,1024,512,195.105,15.389,0.191,0.015,23264.574,605.833,22.719,0.015
ETCD,3,10,2048,512,185.035,0.379,0.361,0.001,13115.790,192.681,25.617,0.001
ETCD,3,10,4096,512,178.356,0.132,0.697,0.001,6847.055,85.785,26.746,0.001
ETCD,3,15,128,512,279.142,0.222,0.034,0.000,94525.752,863.009,11.539,0.000
ETCD,3,15,256,512,278.556,0.247,0.068,0.000,58690.427,10522.571,14.329,0.000
ETCD,3,15,512,512,277.862,0.313,0.136,0.000,42797.767,2995.122,20.897,0.000
ETCD,3,15,1024,512,275.237,0.748,0.269,0.001,23527.263,1172.746,22.976,0.001
ETCD,3,15,2048,512,270.543,0.501,0.528,0.001,13074.800,212.878,25.537,0.001
ETCD,3,15,4096,512,256.354,0.692,1.001,0.003,6912.443,95.164,27.002,0.003
ETCD,3,20,128,512,373.591,0.538,0.046,0.000,81738.731,2407.905,9.978,0.000
ETCD,3,20,256,512,373.810,0.766,0.091,0.000,60523.212,8784.042,14.776,0.000
ETCD,3,20,512,512,370.989,0.843,0.181,0.000,42059.414,3030.754,20.537,0.000
ETCD,3,20,1024,512,366.342,0.894,0.358,0.001,23447.763,181.372,22.898,0.001
ETCD,3,20,2048,512,359.468,0.796,0.702,0.002,13258.517,250.300,25.896,0.002
ETCD,3,20,4096,512,334.637,1.327,1.307,0.005,6929.272,112.574,27.067,0.005
ETCD,3,25,128,512,461.035,0.976,0.056,0.000,65056.758,30544.325,7.941,0.000
ETCD,3,25,256,512,459.436,0.473,0.112,0.000,68306.488,683.247,16.676,0.000
ETCD,3,25,512,512,455.330,0.964,0.222,0.000,41378.056,3742.405,20.204,0.000
ETCD,3,25,1024,512,490.732,89.140,0.479,0.087,23958.104,1392.968,23.397,0.087
